x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
+6.40000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+6.45000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+6.50000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+6.55000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+6.60000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+6.65000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+6.70000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891543E-03
+6.75000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+6.80000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+6.85000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+6.90000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+6.95000E-06,-145.72858810E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+7.00000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+7.05000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+7.10000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+7.15000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+7.20000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+7.25000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+7.30000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+7.35000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+7.40000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+7.45000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+7.50000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+7.55000E-06,-65.32657891E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+7.60000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+7.65000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+7.70000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+7.75000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+7.80000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+7.85000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+7.90000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+7.95000E-06,-185.92959270E-03,-65.32657892E-03,+14.89447241649E+00,+80.77891544E-03
+8.00000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+8.05000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.10000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+8.15000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.20000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+8.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.30000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.35000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+8.40000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+20.47740854E-03
+8.45000E-06,-105.52758351E-03,-65.32657891E-03,+14.89447241649E+00,+40.57791084E-03
+8.50000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+8.55000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+8.60000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+8.65000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+8.70000E-06,-185.92959270E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.75000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+8.80000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+8.85000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+8.90000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+8.95000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+9.00000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+9.05000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+9.10000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+9.15000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+9.20000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+9.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+9.30000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+9.35000E-06,-145.72858810E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+9.40000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+20.47740854E-03
