x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-3.3500E-03,-108.0401E-03,-103.0150E-03,+14.8944724E+00,+3.3370603E+00
-3.3400E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.3300E-03,-143.2160E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.3200E-03,-65.3266E-03,-7.5376E-03,+14.8944724E+00,+3.3081658E+00
-3.3100E-03,-65.3266E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-3.3000E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.2900E-03,-221.1055E-03,-67.8391E-03,+14.8944724E+00,+3.3370603E+00
-3.2800E-03,-145.7286E-03,-87.9396E-03,+14.8944724E+00,+3.3257538E+00
-3.2700E-03,-108.0401E-03,-22.6130E-03,+14.8944724E+00,+3.3370603E+00
-3.2600E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3282663E+00
-3.2500E-03,-148.2412E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-3.2400E-03,-87.9396E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.2300E-03,-108.0401E-03,-27.6381E-03,+14.8944724E+00,+3.3182161E+00
-3.2200E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-3.2100E-03,-67.8391E-03,-62.8140E-03,+14.8944724E+00,+3.2981156E+00
-3.2000E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3370603E+00
-3.1900E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.3182161E+00
-3.1800E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-3.1700E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.1600E-03,-123.1155E-03,-7.5376E-03,+14.8944724E+00,+3.3081658E+00
-3.1500E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.1400E-03,-145.7286E-03,-20.1004E-03,+14.8944724E+00,+3.2968593E+00
-3.1300E-03,-67.8391E-03,+12.5629E-03,+14.8944724E+00,+3.2981156E+00
-3.1200E-03,-87.9396E-03,-7.5376E-03,+14.8944724E+00,+3.2968593E+00
-3.1100E-03,-145.7286E-03,-103.0150E-03,+14.8944724E+00,+3.2755025E+00
-3.1000E-03,-82.9145E-03,-30.1507E-03,+14.8944724E+00,+3.3056533E+00
-3.0900E-03,-223.6180E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-3.0800E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.3257538E+00
-3.0700E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.0600E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.3282663E+00
-3.0500E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.2981156E+00
